name,ticker_bourso,isin,detail_url,last,variation,high,low,volume,raw_data_ist_init
AB SCIENCE,1rPAB,FR0010557264,https://www.boursorama.com/cours/1rPAB/,1.152,-0.0034602076124568,1.168,1.142,,"{""symbol"":""1rPAB"",""variation"":-0.0034602076124568,""last"":1.152,""previousClose"":1.156,""high"":1.168,""low"":1.142,""totalVolume"":18741,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:46:08"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":1.208,""lowLimit"":1.096,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABC ARBITRAGE,1rPABCA,FR0004040608,https://www.boursorama.com/cours/1rPABCA/,5.19,0.025691699604743,5.21,5.07,,"{""symbol"":""1rPABCA"",""variation"":0.025691699604743,""last"":5.19,""previousClose"":5.06,""high"":5.21,""low"":5.07,""totalVolume"":61787,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:45:27"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":5.44,""lowLimit"":4.935,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABEO,1rPABEO,FR0013185857,https://www.boursorama.com/cours/1rPABEO/,7.8,-0.020100502512563,7.96,7.72,,"{""symbol"":""1rPABEO"",""variation"":-0.020100502512563,""last"":7.8,""previousClose"":7.96,""high"":7.96,""low"":7.72,""totalVolume"":947,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:35:13"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":8.18,""lowLimit"":7.42,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABIONYX PHARMA,1rPABNX,FR0012616852,https://www.boursorama.com/cours/1rPABNX/,3.83,0.030955585464334,4.14,3.715,,"{""symbol"":""1rPABNX"",""variation"":0.030955585464334,""last"":3.83,""previousClose"":3.715,""high"":4.14,""low"":3.715,""totalVolume"":567185,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:46:40"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":4.02,""lowLimit"":3.64,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABIVAX,1rPABVX,FR0012333284,https://www.boursorama.com/cours/1rPABVX/,89.9,0.007847533632287,90.8,87.5,,"{""symbol"":""1rPABVX"",""variation"":0.007847533632287,""last"":89.9,""previousClose"":89.2,""high"":90.8,""low"":87.5,""totalVolume"":26825,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:48:50"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":94.3,""lowLimit"":85.5,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABL DIAGNOSTICS,1rPABLD,FR001400AHX6,https://www.boursorama.com/cours/1rPABLD/,2.96,-0.075,3,2.7,,"{""symbol"":""1rPABLD"",""variation"":-0.075,""last"":2.96,""previousClose"":3.2,""high"":3,""low"":2.7,""totalVolume"":3516,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 13:22:07"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.1,""lowLimit"":2.82,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACHETER-LOUER.FR,1rPALALO,FR0014011O84,https://www.boursorama.com/cours/1rPALALO/,0.0085,0.0625,0.0094,0.0079,,"{""symbol"":""1rPALALO"",""variation"":0.0625,""last"":0.0085,""previousClose"":0.008,""high"":0.0094,""low"":0.0079,""totalVolume"":2200125,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:33:59"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.0255,""lowLimit"":0.0001,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTEOS (EX DATATRONIC),1rPEOS,FR0000076861,https://www.boursorama.com/cours/1rPEOS/,0.83,-0.034883720930233,0.85,0.83,,"{""symbol"":""1rPEOS"",""variation"":-0.034883720930233,""last"":0.83,""previousClose"":0.86,""high"":0.85,""low"":0.83,""totalVolume"":111,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 13:54:36"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.87,""lowLimit"":0.79,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTIA GROUP,1rPALATI,FR0000076655,https://www.boursorama.com/cours/1rPALATI/,3.3,0.012269938650307,3.32,3.25,,"{""symbol"":""1rPALATI"",""variation"":0.012269938650307,""last"":3.3,""previousClose"":3.26,""high"":3.32,""low"":3.25,""totalVolume"":7543,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:08:43"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.46,""lowLimit"":3.14,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTICOR BIOTECH,1rPALACT,FR0014005OJ5,https://www.boursorama.com/cours/1rPALACT/,0.25,0,0,0,,"{""symbol"":""1rPALACT"",""variation"":0,""last"":0.25,""previousClose"":0.25,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2024-12-09 15:36:28"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0002,""lowLimit"":0.0002,""valorization"":0,""shares"":0,""tradeCapital"":0}"
