name,ticker_bourso,isin,detail_url,last,variation,high,low,volume,raw_data_ist_init
AB SCIENCE,1rPAB,FR0010557264,https://www.boursorama.com/cours/1rPAB/,1.214,0.037606837606838,1.214,1.158,,"{""symbol"":""1rPAB"",""variation"":0.037606837606838,""last"":1.214,""previousClose"":1.17,""high"":1.214,""low"":1.158,""totalVolume"":80500,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:57:33"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":1.274,""lowLimit"":1.154,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABC ARBITRAGE,1rPABCA,FR0004040608,https://www.boursorama.com/cours/1rPABCA/,5.31,0.019193857965451,5.33,5.2,,"{""symbol"":""1rPABCA"",""variation"":0.019193857965451,""last"":5.31,""previousClose"":5.21,""high"":5.33,""low"":5.2,""totalVolume"":28325,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:55:55"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":5.57,""lowLimit"":5.05,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABEO,1rPABEO,FR0013185857,https://www.boursorama.com/cours/1rPABEO/,7.92,0,7.92,7.84,,"{""symbol"":""1rPABEO"",""variation"":0,""last"":7.92,""previousClose"":7.92,""high"":7.92,""low"":7.84,""totalVolume"":41,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 09:57:15"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":8.28,""lowLimit"":7.52,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABIONYX PHARMA,1rPABNX,FR0012616852,https://www.boursorama.com/cours/1rPABNX/,3.75,-0.0092470277410833,3.78,3.61,,"{""symbol"":""1rPABNX"",""variation"":-0.0092470277410833,""last"":3.75,""previousClose"":3.785,""high"":3.78,""low"":3.61,""totalVolume"":78668,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:59:35"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.935,""lowLimit"":3.565,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABIVAX,1rPABVX,FR0012333284,https://www.boursorama.com/cours/1rPABVX/,89.7,0.010135135135135,90,88.8,,"{""symbol"":""1rPABVX"",""variation"":0.010135135135135,""last"":89.7,""previousClose"":88.8,""high"":90,""low"":88.8,""totalVolume"":10998,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 12:00:52"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":94.1,""lowLimit"":85.3,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ABL DIAGNOSTICS,1rPABLD,FR001400AHX6,https://www.boursorama.com/cours/1rPABLD/,2.8,-0.041095890410959,2.8,2.7,,"{""symbol"":""1rPABLD"",""variation"":-0.041095890410959,""last"":2.8,""previousClose"":2.92,""high"":2.8,""low"":2.7,""totalVolume"":1607,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 10:29:13"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":2.94,""lowLimit"":2.66,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACHETER-LOUER.FR,1rPALALO,FR0014011O84,https://www.boursorama.com/cours/1rPALALO/,0.0088,-0.01123595505618,0.0091,0.0085,,"{""symbol"":""1rPALALO"",""variation"":-0.01123595505618,""last"":0.0088,""previousClose"":0.0089,""high"":0.0091,""low"":0.0085,""totalVolume"":311479,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:11:43"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.0264,""lowLimit"":0.0001,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTEOS (EX DATATRONIC),1rPEOS,FR0000076861,https://www.boursorama.com/cours/1rPEOS/,0.848,0.021686746987952,0.85,0.83,,"{""symbol"":""1rPEOS"",""variation"":0.021686746987952,""last"":0.848,""previousClose"":0.83,""high"":0.85,""low"":0.83,""totalVolume"":171,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:49:41"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.892,""lowLimit"":0.808,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTIA GROUP,1rPALATI,FR0000076655,https://www.boursorama.com/cours/1rPALATI/,3.5,0.060606060606061,3.5,3.3,,"{""symbol"":""1rPALATI"",""variation"":0.060606060606061,""last"":3.5,""previousClose"":3.3,""high"":3.5,""low"":3.3,""totalVolume"":8969,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:05:05"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.67,""lowLimit"":3.33,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTICOR BIOTECH,1rPALACT,FR0014005OJ5,https://www.boursorama.com/cours/1rPALACT/,0.25,0,0,0,,"{""symbol"":""1rPALACT"",""variation"":0,""last"":0.25,""previousClose"":0.25,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2024-12-09 15:36:28"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0002,""lowLimit"":0.0002,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ACTIVIUM GROUP,1rPMLACT,FR0010979377,https://www.boursorama.com/cours/1rPMLACT/,2.3,0,0,0,,"{""symbol"":""1rPMLACT"",""variation"":0,""last"":2.3,""previousClose"":2.3,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-25 14:04:35"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":2.68,""lowLimit"":2.2,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ADEUNIS,1rPALARF,FR0013284627,https://www.boursorama.com/cours/1rPALARF/,0.59,0,0,0,,"{""symbol"":""1rPALARF"",""variation"":0,""last"":0.59,""previousClose"":0.59,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 13:55:06"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.645,""lowLimit"":0.535,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ADOCIA,1rPADOC,FR0011184241,https://www.boursorama.com/cours/1rPADOC/,4.715,0.010718113612004,4.745,4.6,,"{""symbol"":""1rPADOC"",""variation"":0.010718113612004,""last"":4.715,""previousClose"":4.665,""high"":4.745,""low"":4.6,""totalVolume"":34651,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:47:10"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":4.95,""lowLimit"":4.48,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ADOMOS,1rPALADO,FR00140153H3,https://www.boursorama.com/cours/1rPALADO/,2.2095,0.032476635514019,2.3,2.01,,"{""symbol"":""1rPALADO"",""variation"":0.032476635514019,""last"":2.2095,""previousClose"":2.14,""high"":2.3,""low"":2.01,""totalVolume"":2755,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:20:54"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":2.3195,""lowLimit"":2.0995,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ADUX,1rPALDUX,FR0012821890,https://www.boursorama.com/cours/1rPALDUX/,1.51,0,1.51,1.51,,"{""symbol"":""1rPALDUX"",""variation"":0,""last"":1.51,""previousClose"":1.51,""high"":1.51,""low"":1.51,""totalVolume"":10,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 09:00:03"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":1.585,""lowLimit"":1.435,""valorization"":0,""shares"":0,""tradeCapital"":0}"
ADVICENNE,1rPALDVI,FR0013296746,https://www.boursorama.com/cours/1rPALDVI/,1.47,0.027972027972028,1.499,1.43,,"{""symbol"":""1rPALDVI"",""variation"":0.027972027972028,""last"":1.47,""previousClose"":1.43,""high"":1.499,""low"":1.43,""totalVolume"":15040,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-31 11:55:31"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":1.542,""lowLimit"":1.398,""valorization"":0,""shares"":0,""tradeCapital"":0}"
